Symbol,Sector
DEUS,
EDD,Financial Services
FEI,Financial Services
GPX,Consumer Defensive
MARK,Technology
MCA,Financial Services
OPTN,Healthcare
QTNA,Technology
TLH,
VOC,Energy
CHUBA,Technology
SRV,Financial Services
ETO,Financial Services
FCG,
CRCM,Technology
BLCM,Healthcare
FFIN,Financial Services
RGNX,Healthcare
APPF,Technology
KE,Technology
ASR,Industrials
EBIO,Healthcare
MBRX,Healthcare
AFMD,Healthcare
ASYS,Technology
APEI,Consumer Defensive
HYGS,Industrials
PSB,Real Estate
GORO,Basic Materials
MN,Financial Services
NITE,Healthcare
AFI,Basic Materials
TECL,
VICR,Technology
MORN,Industrials
EIGR,Healthcare
ATRC,Healthcare
EMLP,
ICD,Energy
CW,Technology
IWR,
APLS,Healthcare
CFO,
ILTB,
ALE,Utilities
Y,Financial Services
HZN,Industrials
UEIC,Technology
KOL,
AFH,Financial Services
AQ,Technology
AUTO,Technology
CKPT,Healthcare
HTBI,Financial Services
IDN,Technology
KOF,Consumer Defensive
LYTS,Technology
PHI,Communication Services
RIF,Financial Services
SPHB,
CTR,Financial Services
UBNT,Technology
MFL,Financial Services
YINN,
ORA,Utilities
CMPR,Consumer Cyclical
ESTE,Energy
SHM,
VKQ,Financial Services
EDGE,Healthcare
SRDX,Healthcare
OCUL,Healthcare
WSBC,Financial Services
RAS,Real Estate
PFBC,Financial Services
CARG,Technology
EMAN,Technology
EPZM,Healthcare
WMC,Real Estate
TAN,
LX,Financial Services
AIMC,Industrials
MFNC,Financial Services
AUO,Technology
ADRO,Healthcare
ARII,Industrials
CHI,Financial Services
CLY,
LEJU,Real Estate
SCHH,
SIVR,
NCZ,Financial Services
UTF,Financial Services
IBND,
CIU,
GHY,Financial Services
HMTV,Communication Services
PAC,Industrials
KYO,Technology
CTEK,Industrials
ABIL,Technology
IWS,
PLX,Healthcare
IEI,
NVEE,Industrials
ATRO,Industrials
CFRX,Healthcare
AZZ,Industrials
SJT,Energy
DX,Real Estate
IO,Energy
VO,
IWV,
KLXI,Industrials
BLX,Financial Services
ENSG,Healthcare
SXCP,Basic Materials
MXWL,Technology
TOCA,Healthcare
CYBE,Technology
EFC,Financial Services
ACP,Financial Services
AMTX,Basic Materials
ICL,Basic Materials
MIE,Financial Services
MSF,Financial Services
NHF,Financial Services
PHD,Financial Services
RWLK,Healthcare
INB,Financial Services
NBEV,Consumer Defensive
TDTT,
ECOL,Industrials
SMHI,Industrials
SHEN,Communication Services
AVH,Industrials
TOO,Industrials
ITI,Technology
ROX,Consumer Defensive
GV,Industrials
HNI,Industrials
LPTX,Healthcare
NEU,Basic Materials
TIER,Real Estate
FSS,Industrials
IWP,
HCI,Financial Services
IFMK,Consumer Defensive
NXRT,Real Estate
QQQX,Financial Services
FRPH,Real Estate
GUSH,
HOS,Energy
ISD,Financial Services
IWY,
JASN,Industrials
MRIN,Technology
NLST,Technology
NUM,Financial Services
NVG,Financial Services
PHT,Financial Services
PIM,Financial Services
PRTS,Consumer Cyclical
RLH,Consumer Cyclical
TYG,Financial Services
VBTX,Financial Services
WSCWW,Industrials
UWT,
FRO,Industrials
HY,Industrials
BCPC,Basic Materials
CLH,Industrials
USNA,Consumer Defensive
OTTR,Utilities
WGP,Energy
CTO,Real Estate
VBIV,Basic Materials
BIZD,
EPHE,
TBPH,Healthcare
WPP,Consumer Cyclical
ANCX,Financial Services
PAHC,Healthcare
QUIK,Technology
FNDX,
AOI,Consumer Defensive
ALDX,Healthcare
AMU,
BBRG,Consumer Cyclical
CKH,Energy
IFN,Financial Services
OBE,Energy
ONTX,Healthcare
RST,Technology
RYE,
TLI,Financial Services
TREC,Basic Materials
WWR,Basic Materials
MATX,Industrials
ANGL,
HCKT,Industrials
BOMN,Industrials
WSBF,Financial Services
PKE,Technology
JRS,Financial Services
FFG,Financial Services
MAXR,Technology
JAGX,Healthcare
CSII,Healthcare
OXM,Consumer Cyclical
BSJI,
FXP,
PFLT,Financial Services
CMT,Consumer Cyclical
ALGT,Industrials
MFIN,Financial Services
PKD,Energy
QYLD,
LABU,
FNHC,Financial Services
ASV,Industrials
AVHI,Consumer Cyclical
BPK,Financial Services
FSV,Real Estate
JDD,Financial Services
NAUH,Consumer Defensive
PFXF,
RDI,Consumer Cyclical
RTIX,Healthcare
SCON,Technology
SMLP,Energy
OMED,Healthcare
HTBK,Financial Services
CLXT,Consumer Defensive
KNSL,Financial Services
DDM,
METC,Basic Materials
STIP,
NEOG,Healthcare
GTY,Real Estate
WTS,Industrials
BFZ,Financial Services
HMST,Financial Services
FFIC,Financial Services
CPL,Utilities
GNMX,Healthcare
ECOM,Technology
CEO,Energy
GALT,Healthcare
BBW,Consumer Cyclical
IMKTA,Consumer Defensive
SPSM,
NRK,Financial Services
RAIL,Industrials
KSA,
INPX,Technology
INDB,Financial Services
IWO,
GSLC,
CWAY,Financial Services
AUPH,Healthcare
AVK,Financial Services
BSJK,
HIO,Financial Services
LN,Technology
NK,Healthcare
NMZ,Financial Services
OILD,
PTY,Financial Services
SGY,Energy
CECO,Consumer Defensive
TR,Consumer Defensive
CABO,Communication Services
LCUT,Consumer Cyclical
IDOG,
BWX,
ERIE,Financial Services
AAC,Healthcare
BCX,Financial Services
GIM,Financial Services
GPM,Financial Services
HSTM,Technology
EEMV,
AGM,Financial Services
DFFN,Healthcare
VIVE,Healthcare
AGII,Financial Services
KEG,Energy
UMH,Real Estate
FIX,Industrials
FDUS,Financial Services
ANAT,Financial Services
RENX,Consumer Cyclical
CIVB,Financial Services
RKDA,Basic Materials
XSLV,
MORL,
OFIX,Healthcare
KVHI,Technology
TTGT,Technology
HQH,Financial Services
IWX,
ARCB,Industrials
WABC,Financial Services
ACRX,Industrials
CAF,Financial Services
CAI,Industrials
CNBKA,Financial Services
DXJS,
GLMD,Healthcare
GLOP,Energy
ITM,
LODE,Basic Materials
MATR,Technology
MDWD,Healthcare
MG,Industrials
NOVN,Healthcare
OIA,Financial Services
OILU,
OPESU,Industrials
PCK,Financial Services
TANH,Basic Materials
TEI,Financial Services
TTT,
UNT,Energy
VHC,Technology
ZFGN,Healthcare
ZSAN,Healthcare
BKF,
VHI,Basic Materials
PUK,Financial Services
CCXI,Healthcare
UBFO,Financial Services
CNXN,Technology
JAX,Consumer Cyclical
SONA,Financial Services
ARA,Healthcare
CPLA,Consumer Defensive
DLB,Consumer Cyclical
HAYN,Industrials
TCX,Technology
TPB,Consumer Defensive
KIN,Healthcare
LABL,Industrials
CII,Financial Services
DWM,
SPMD,
SPLG,
MACK,Healthcare
ACST,Healthcare
THQ,Financial Services
EZM,
MCR,Financial Services
IYW,
BTO,Financial Services
FFWM,Financial Services
BLOK,
BIP,Utilities
CAC,Financial Services
NATH,Consumer Cyclical
ANDE,Consumer Defensive
CTWS,Utilities
WIW,Financial Services
YUMA,Energy
CARO,Financial Services
MCS,Consumer Cyclical
GOOD,Real Estate
CIA,Financial Services
CLW,Basic Materials
AMRK,Financial Services
ATHX,Healthcare
CCD,Financial Services
CEM,Financial Services
COOL,Healthcare
DGII,Technology
ESES,Energy
GMRE,Real Estate
IHD,Financial Services
IXN,
KRYS,Healthcare
NTIP,Technology
ORN,Industrials
PEY,
PLXP,Healthcare
SLGL,Healthcare
SPEX,Industrials
VLGEA,Consumer Defensive
YTRA,Consumer Cyclical
JO,
MKL,Financial Services
FNDB,
ALOG,Healthcare
EOI,Financial Services
KYE,Financial Services
WRLD,Financial Services
NAVG,Financial Services
QAI,
FICO,Technology
GRC,Industrials
OLP,Real Estate
PZN,Financial Services
SYBT,Financial Services
FTF,Financial Services
HWKN,Basic Materials
PICB,
DHY,Financial Services
SJW,Utilities
GFF,Basic Materials
LRGF,
DRIP,
CHY,Financial Services
LEO,Financial Services
TORC,Healthcare
VISI,Industrials
CEVA,Technology
FLY,Industrials
AGX,Industrials
XOMA,Healthcare
SMP,Consumer Cyclical
BSE,Financial Services
NVIV,Healthcare
AIA,
CGG,Energy
DCAR,Technology
EFZ,
GNK,Industrials
HCCI,Industrials
HQL,Financial Services
IGI,Financial Services
ILPT,Real Estate
JPGE,
KIDS,Healthcare
PFN,Financial Services
PULM,Healthcare
SCYX,Healthcare
SECO,Consumer Cyclical
XPL,Basic Materials
FFKT,Financial Services
CHW,Financial Services
EIG,Financial Services
BST,Financial Services
CHCO,Financial Services
STK,Financial Services
NXTD,Industrials
IBCP,Financial Services
DNP,Financial Services
INSW,Industrials
NCV,Financial Services
DCIX,Industrials
FLKS,Healthcare
PCN,Financial Services
IBDL,
CHT,Communication Services
SLD,Real Estate
EAD,Financial Services
MBWM,Financial Services
ETW,Financial Services
RCKY,Consumer Cyclical
KAMN,Industrials
ZIV,
USM,Communication Services
POWI,Technology
TDW,Energy
HIL,Industrials
NCOM,Financial Services
NAD,Financial Services
OOMA,Communication Services
NTRA,Healthcare
PGC,Financial Services
MSL,Financial Services
EPV,
UVE,Financial Services
ATAX,Financial Services
BTZ,Financial Services
CXE,Financial Services
DPG,Financial Services
EDOM,
FFC,Financial Services
FPF,Financial Services
FXF,
FXN,
IBLN,
MBOT,Healthcare
MIXT,Technology
MOTS,Healthcare
MTL,Basic Materials
NEXT,Energy
NFBK,Financial Services
NL,Industrials
NRO,Financial Services
OTIV,Industrials
PCI,Financial Services
RVRS,
UGL,
UGLD,
USEG,Energy
VTA,Financial Services
SHG,Financial Services
MQT,Financial Services
APTO,Healthcare
ABCD,Consumer Defensive
CORR,Utilities
FXR,
REV,Consumer Defensive
ARGT,
EGY,Energy
MRSN,Healthcare
VHT,
VBK,
CBA,Financial Services
SYX,Consumer Cyclical
GHM,Industrials
GWX,
GCO,Consumer Cyclical
SNSS,Healthcare
JBSS,Consumer Defensive
CUB,Industrials
RGR,Industrials
QTEC,
LPTH,Technology
MITT,Real Estate
REGL,
TTEC,Industrials
FISI,Financial Services
VCYT,Healthcare
CGEN,Healthcare
SMM,Financial Services
FM,
JPC,Financial Services
MOFG,Financial Services
REM,
IPKW,
NVR,Consumer Cyclical
RNST,Financial Services
ULBI,Industrials
FOMX,Healthcare
SCHC,
ESE,Technology
FBMS,Financial Services
ACIU,Healthcare
KELYA,Industrials
TMP,Financial Services
MGEN,Healthcare
SQBG,Consumer Cyclical
WIP,
ACRE,Real Estate
IMOS,Technology
HFRO,
SPOK,Communication Services
ABTX,Financial Services
BYBK,Financial Services
CAMT,Technology
DCF,
DGLD,
DGS,
ERY,
HMLP,Industrials
MCBC,Financial Services
MDIV,
NIM,Financial Services
NRP,Basic Materials
PBT,Energy
PLUS,Technology
SDLP,Energy
SELB,Healthcare
TBF,
THFF,Financial Services
YIN,Financial Services
FGB,Financial Services
GDP,Energy
RFIL,Technology
NCSM,Energy
PRFT,Technology
PFS,Financial Services
CSWI,Industrials
MPA,Financial Services
TPHS,Real Estate
DCUD,Utilities
ECON,
HYLB,
DEM,
BLBD,Consumer Cyclical
NCNA,Healthcare
BSCM,
KMPH,Healthcare
CDTI,Industrials
PDP,
ZLAB,Healthcare
AMSC,Technology
RCKT,Healthcare
VNQI,
TGB,Basic Materials
FBT,
YRD,Financial Services
AOM,
FGM,
GLO,Financial Services
RWM,
LEMB,
GAIN,Financial Services
JRI,Financial Services
LRN,Consumer Defensive
RAVN,Industrials
GNT,Financial Services
GXG,
MBIO,Healthcare
SIFI,Financial Services
ARDC,Financial Services
CEV,Financial Services
CLSN,Healthcare
COPX,
ECC,Financial Services
EFT,Financial Services
EHI,Financial Services
EOD,Financial Services
ETG,Financial Services
FSD,Financial Services
HLG,Consumer Defensive
IFRX,Healthcare
IRR,Financial Services
JGH,Financial Services
KMM,Financial Services
KNOP,Industrials
LION,Financial Services
LMBS,
MMAC,Financial Services
MYJ,Financial Services
NAO,Industrials
OAKS,Real Estate
OCX,Healthcare
RENN,Technology
SMRT,Consumer Cyclical
TRK,Consumer Cyclical
VRTV,Industrials
WKHS,Consumer Cyclical
TSI,Financial Services
CLLS,Healthcare
JJSF,Consumer Defensive
NTEC,Healthcare
TTEK,Industrials
CTBI,Financial Services
REMX,
CCF,Industrials
YCS,
FVD,
HAWX,
IHG,Consumer Cyclical
RFDA,
BATRA,Consumer Cyclical
DZZ,
INTL,Financial Services
FBIO,Healthcare
KIO,Financial Services
BSRR,Financial Services
CORI,Healthcare
EDUC,Consumer Cyclical
SOR,Financial Services
FDEF,Financial Services
PSLV,Financial Services
NVMI,Technology
PXJ,
ESXB,Financial Services
KMF,Financial Services
KWEB,
FLXS,Consumer Cyclical
VALU,Consumer Cyclical
RIBT,Consumer Defensive
DDWM,
ABLX,Healthcare
HACK,
MYE,Consumer Cyclical
CWEB,
PMF,Financial Services
GLPG,Healthcare
RLGT,Industrials
ZMLP,
FC,Consumer Defensive
NC,Consumer Cyclical
APT,Basic Materials
EWX,
EVI,Consumer Cyclical
AGRX,Healthcare
AGTC,Healthcare
ALLT,Technology
BANX,Financial Services
BFK,Financial Services
CANE,
CBIO,Healthcare
CEA,Industrials
CNET,Consumer Cyclical
DCPH,Healthcare
HBB,Technology
HBP,Industrials
HOFT,Consumer Cyclical
HYZD,
ICLK,Consumer Cyclical
IFON,Technology
IGA,Financial Services
IIM,Financial Services
IPCI,Healthcare
ISTR,Financial Services
KBAL,Technology
LNDC,Consumer Defensive
NAN,Financial Services
NDP,Financial Services
NTRSP,Financial Services
NWPX,Basic Materials
PRCP,Technology
PRFZ,
RM,Financial Services
SYRS,Healthcare
UTL,Utilities
WNEB,Financial Services
ZEUS,Industrials
MVF,Financial Services
ERM,
DKT,Financial Services
NYF,
SCL,Basic Materials
ASCMA,Industrials
RSYS,Technology
SALM,Consumer Cyclical
EOS,Financial Services
NEWT,Financial Services
NH,Technology
HBMD,Financial Services
REIS,Industrials
SPXX,Financial Services
SPNE,Healthcare
FORR,Industrials
IYT,
NTP,Technology
STRL,Industrials
MFSF,Financial Services
BLCN,
MRUS,Healthcare
RILY,Financial Services
RUSL,
DBL,Financial Services
MUI,Financial Services
EPU,
TAX,Consumer Cyclical
IMUC,Healthcare
RJA,
NIE,Financial Services
TLTE,
ASG,Financial Services
STCN,Industrials
GRAM,Industrials
ACFC,Financial Services
MMLP,Energy
HBNC,Financial Services
CUE,Healthcare
INFU,Healthcare
CHAD,
PCEF,
RPG,
MGNX,Healthcare
TDIV,
BSCO,
RFAP,
AMEH,Healthcare
STN,Industrials
AXSM,Healthcare
GHC,Consumer Cyclical
IBMJ,
CIK,Financial Services
HYLD,
JTPY,Technology
DCOM,Financial Services
AMOT,Technology
BIB,
BKEP,Energy
BRT,Real Estate
BWFG,Financial Services
CPER,
CSBK,Financial Services
CSV,Consumer Cyclical
CVU,Industrials
DNI,Financial Services
DSM,Financial Services
EBF,Industrials
EVT,Financial Services
FMBH,Financial Services
FMO,Financial Services
FOF,Financial Services
FTCS,
GEOS,Energy
HNP,Utilities
HTBX,Healthcare
IBMI,
IDE,Financial Services
IEUS,
INBK,Financial Services
IYK,
KALV,Healthcare
KED,Financial Services
KONA,Consumer Cyclical
LIND,Consumer Cyclical
LVHI,
MCRB,Healthcare
MMT,Financial Services
MMU,Financial Services
NTWK,Technology
NUDM,
PANL,Industrials
PNQI,
PPA,
PXH,
RCS,Financial Services
REPH,Healthcare
RFDI,
SVVC,Financial Services
SZC,Financial Services
TYHT,Healthcare
URE,
VGM,Financial Services
VIXM,
ZSL,
DRV,
DSU,Financial Services
MRAM,Technology
VOE,
KALA,Healthcare
WDFC,Basic Materials
CNIT,Technology
BCBP,Financial Services
TNAV,Technology
EMQQ,
IQI,Financial Services
SPYD,
DAVE,Consumer Cyclical
GARS,Financial Services
SRTY,
QINC,
NP,Basic Materials
PSTI,Healthcare
BHB,Financial Services
FVE,Healthcare
WTM,Financial Services
LILA,Communication Services
IPE,
DELT,Basic Materials
EELV,
IBIO,Healthcare
IEP,Industrials
MJ,
VOT,
CURE,
LMNR,Consumer Defensive
VNRX,Healthcare
AGLE,Healthcare
RYTM,Healthcare
CELH,Consumer Defensive
WEYS,Consumer Cyclical
QEFA,
SBOW,Energy
CHMI,Real Estate
CERC,Healthcare
MOTI,
SCIF,
DMF,Financial Services
RDIV,
ALOT,Technology
AFB,Financial Services
PDBC,
CBMG,Healthcare
ENY,
GOF,Financial Services
PSDV,Healthcare
RBB,Financial Services
DFJ,
STKS,Consumer Cyclical
VOXX,Consumer Cyclical
ESGR,Financial Services
JFR,Financial Services
RIOT,Financial Services
SORL,Consumer Cyclical
AOK,
ASND,Healthcare
BSM,Energy
BTAI,Healthcare
CBK,Consumer Cyclical
CRMT,Consumer Cyclical
CVCY,Financial Services
CVY,
CWCO,Utilities
DBGR,
DGRE,
EHTH,Financial Services
EOCC,Utilities
ESNC,Industrials
FEU,
FREL,
GLL,
GROW,Financial Services
IBMH,
IJT,
IPAY,
IQDF,
IRL,Financial Services
JCAP,Real Estate
JTA,Financial Services
KF,Financial Services
KINS,Financial Services
KTF,Financial Services
MPX,Industrials
MRLN,Financial Services
MVC,Financial Services
NAC,Financial Services
NBW,Financial Services
NETE,Technology
NETS,Consumer Cyclical
NVLN,Healthcare
ORAN,Communication Services
PCYG,Technology
PDT,Financial Services
PML,Financial Services
PSP,
QIWI,Financial Services
RFTA,
RMT,Financial Services
SJB,
SPYB,
TCHF,
UFAB,Consumer Cyclical
USAK,Industrials
UTSI,Communication Services
VERI,Technology
VXF,
WHG,Financial Services
PGZ,Financial Services
SCHZ,
CDC,
FENC,Healthcare
FARM,Consumer Defensive
JXI,
CTBB,
VGIT,
CYB,
ANIK,Healthcare
SVRA,Healthcare
TG,Industrials
XPLR,Technology
LDRS,
QQEW,
VGSH,
EXI,
BUSE,Financial Services
HONE,Financial Services
IAF,Financial Services
HDMV,
IDLV,
TOTL,
UHT,Real Estate
IESC,Industrials
LITB,Consumer Cyclical
RNET,Technology
SCHP,
SMBC,Financial Services
VCTR,Financial Services
ZTR,Financial Services
JHMM,
VTEB,
JPIN,
UBIO,
MSFG,Financial Services
LMFA,Financial Services
IJS,
KAI,Industrials
PRQR,Healthcare
UBA,Real Estate
BREW,Consumer Defensive
PERY,Consumer Cyclical
ORM,Real Estate
FCBC,Financial Services
VDC,
MHO,Consumer Cyclical
UTMD,Healthcare
PCOM,Technology
HDG,
FEMS,
SPTM,
VCR,
ATNI,Communication Services
FNDA,
GMF,
INF,Financial Services
MDYG,
SCM,Financial Services
AGC,Financial Services
AIRG,Technology
BBC,
BFOR,
BGH,Financial Services
BGR,Financial Services
BGX,Financial Services
BOND,
BOSC,Industrials
BSJM,
BUI,Financial Services
BWINB,Financial Services
CATB,Healthcare
CDLX,Technology
CEE,Financial Services
CHFN,Financial Services
CNTY,Consumer Cyclical
DAIO,Technology
DES,
EDGW,Technology
EDIV,
EFF,Financial Services
EFU,
EGPT,
EOLS,Healthcare
ERC,Financial Services
ETB,Financial Services
FIV,Financial Services
FRSH,Consumer Cyclical
GECC,Financial Services
HEAR,Technology
HYI,Financial Services
IHDG,
IHI,
IOR,Real Estate
IVH,Financial Services
IYM,
KEMQ,
KREF,Financial Services
MAV,Financial Services
MCN,Financial Services
MLPX,
MRCC,Financial Services
MTNB,Healthcare
MTSC,Technology
MUS,Financial Services
MYN,Financial Services
NEV,Financial Services
NPK,Industrials
PFO,Financial Services
PGH,Energy
PMX,Financial Services
POWL,Industrials
PSCE,
PWOD,Financial Services
PXQ,
RSLS,Healthcare
SEED,Consumer Defensive
SGDJ,
SGF,Financial Services
SHYD,
SNMX,Basic Materials
SOJC,
STON,Consumer Cyclical
SXE,Utilities
TAT,Energy
TGLS,Basic Materials
TITN,Industrials
TLYS,Consumer Cyclical
UQM,Consumer Cyclical
VDE,
VXZ,
WRLSU,Industrials
ZIONW,Financial Services
ZROZ,
ZX,Consumer Cyclical
ZYNE,Healthcare
CTG,Technology
PCYO,Utilities
SNOA,Healthcare
DXYN,Consumer Cyclical
IJJ,
CYRX,Consumer Cyclical
COKE,Consumer Defensive
FDVV,
GSL,Industrials
ELD,
DGP,
KCAP,Financial Services
TRC,Real Estate
KNDI,Consumer Cyclical
FTSL,
BRZU,
PGJ,
SPTL,
FBNK,Financial Services
FNI,
MOO,
USDU,
WHLR,Real Estate
NSPR,Healthcare
UWM,
DXR,Healthcare
RDHL,Healthcare
PFSW,Industrials
ARKK,
MUJ,Financial Services
HYEM,
GRIF,Real Estate
SLX,
CLAR,Consumer Cyclical
MNA,
PLOW,Consumer Cyclical
TWIN,Industrials
TNTR,Technology
SYNL,Basic Materials
CCLP,Energy
RNP,Financial Services
DMO,Financial Services
KRMA,
FNWB,Financial Services
JTD,Financial Services
TRT,Technology
LFGR,Technology
TSBK,Financial Services
RFFC,
SPHS,Healthcare
AFAM,Healthcare
NGHCN,Financial Services
VPG,Technology
BGT,Financial Services
NHC,Healthcare
PKB,
REET,
EMCB,
RYT,
INFI,Healthcare
MGU,Financial Services
VSEC,Industrials
MGEE,Utilities
MPCT,
CVCO,Consumer Cyclical
FGD,
CAPL,Energy
VOX,
SP,Industrials
STBA,Financial Services
MSN,Technology
TBNK,Financial Services
BFIN,Financial Services
NUEM,
PJP,
BSPM,Healthcare
DKL,Energy
SLY,
SPFF,
ABAC,Consumer Defensive
ACGLP,Financial Services
ACH,Basic Materials
AKP,Financial Services
ALG,Industrials
AMBR,Technology
AMCN,Consumer Cyclical
ANFI,Consumer Defensive
ARKQ,
ARKR,Consumer Cyclical
ATOS,Healthcare
AXU,Industrials
BBH,
BIOL,Healthcare
BLW,Financial Services
BSCJ,
BSCL,
BSL,Financial Services
BTT,Financial Services
CBTX,Financial Services
CET,Financial Services
CGNT,Healthcare
CIGI,Real Estate
CRBN,
CREG,Industrials
CVON,Industrials
DNN,Basic Materials
DOL,
DTW,
DUC,Financial Services
DUKH,Utilities
DVP,
DXJF,
EUSC,
EVJ,Financial Services
GENC,Industrials
GNMA,
GRX,Financial Services
GVI,
HCOM,Communication Services
IAE,Financial Services
IBDQ,
ICF,
IOSP,Basic Materials
IOTS,Technology
IPCC,Financial Services
JCE,Financial Services
JCO,Financial Services
JMLP,Financial Services
JNP,Healthcare
KLDW,
MFM,Financial Services
MNOV,Healthcare
MQY,Financial Services
MYI,Financial Services
NURO,Healthcare
NVEC,Technology
OVID,Healthcare
OXFD,Healthcare
PBIP,Financial Services
PCTI,Technology
PFNX,Healthcare
PHDG,
PLM,Basic Materials
PLSE,Healthcare
PMM,Financial Services
PPR,Financial Services
RBCAA,Financial Services
RVP,Healthcare
RXII,Healthcare
SAFE,Real Estate
SAL,Financial Services
SBPH,Healthcare
SIL,
SLQD,
SRAX,Consumer Cyclical
SSI,Consumer Cyclical
SUNS,Financial Services
UWN,Consumer Cyclical
VET,Energy
VSMV,
WF,Financial Services
XRF,Financial Services
XRM,Industrials
JHI,Financial Services
JP,Financial Services
IDX,
ARKW,
FCVT,
IBDM,
PFL,Financial Services
FIDU,
QQQC,
JPNL,
BCH,Financial Services
IX,Financial Services
PBE,
FXU,
USRT,
GNR,
TLP,Energy
SNGX,Healthcare
NINE,Energy
VPL,
MDYV,
SGG,
CSBR,Healthcare
PXSG,
SPNS,Technology
LBJ,
GF,Financial Services
FF,Basic Materials
FIHD,
MBTF,Financial Services
UGA,
IMTM,
HEB,Healthcare
AVGR,Healthcare
ACMR,Technology
GCH,Financial Services
GWRS,Utilities
PZE,Energy
PRK,Financial Services
SLYV,
PCF,Financial Services
PFBI,Financial Services
CCBG,Financial Services
NYNY,Consumer Cyclical
GOVNI,
DBV,
SSWN,
PPLT,
SMN,
ENFC,Financial Services
IMH,Financial Services
FPX,
MGK,
BMRC,Financial Services
PBW,
RGI,
XPH,
FXZ,
SSC,Communication Services
FSZ,
PDI,Financial Services
FBZ,
IJK,
AC,Financial Services
PEO,Financial Services
DHIL,Financial Services
CIBR,
REW,
XPP,
PXR,
DWCH,Technology
PUB,Financial Services
ESSA,Financial Services
FFNW,Financial Services
CELC,Healthcare
OPY,Financial Services
TIPX,
BOCH,Financial Services
KWR,Basic Materials
DXB,Financial Services
SVA,Healthcare
CMSA,
FCNCA,Financial Services
USCI,
SPLB,
XONE,Industrials
WTBA,Financial Services
DL,Consumer Defensive
SCHO,
ULH,Industrials
ACHV,Healthcare
ACT,
AIRR,
ALT,Healthcare
AMDA,Healthcare
ANTH,Healthcare
ARD,Consumer Cyclical
ARKG,
AROW,Financial Services
AUMN,Basic Materials
AZRE,Utilities
BAB,
BANF,Financial Services
BDCL,
BDCS,
BDGE,Financial Services
BELFB,Technology
BHK,Financial Services
BPT,Energy
BRF,
BTAL,
BVX,Healthcare
BYFC,Financial Services
CBH,Financial Services
CCA,Financial Services
CEL,Communication Services
CELP,Energy
CH,Financial Services
CHFS,Healthcare
CHMG,Financial Services
CMCL,Basic Materials
COE,Consumer Defensive
CPIX,Healthcare
CPST,Technology
CSTR,Financial Services
CZFC,Financial Services
DFEN,
DFP,Financial Services
DIAX,Financial Services
DIVY,
DOD,
DOO,
DRIO,Healthcare
EDI,Financial Services
EEMA,
EFL,Financial Services
ELSE,Technology
EMHY,
ENOR,
ERA,Industrials
ESLT,Industrials
EVOL,Technology
FAM,Financial Services
FDEU,Financial Services
FENY,
FIF,Financial Services
FLTR,
FNDF,
FRBA,Financial Services
FRSX,Real Estate
GASS,Industrials
GBLI,Financial Services
GEC,Financial Services
GLIBP,Communication Services
GOAU,
GPP,Energy
GSIE,
HSEA,Financial Services
IBD,
IPDN,Technology
IYJ,
JLS,Financial Services
JMBA,Consumer Cyclical
JOUT,Consumer Cyclical
KBWB,
KEQU,Industrials
KSM,Financial Services
LBCC,Consumer Defensive
LDP,Financial Services
LGCYO,Energy
LGI,Financial Services
LIFE,Healthcare
LORL,Technology
LPCN,Healthcare
LTBR,Industrials
MHH,Industrials
MLR,Consumer Cyclical
MNP,Financial Services
MTT,Financial Services
MUH,Financial Services
MXF,Financial Services
MYF,Financial Services
MYSZ,Technology
MZF,Financial Services
NEPT,Healthcare
NHS,Financial Services
NIQ,Financial Services
NODK,Financial Services
NTIC,Basic Materials
NXQ,Financial Services
OBLN,Healthcare
OFS,Financial Services
OPP,Financial Services
OREX,Healthcare
PAR,Technology
PBSK,Financial Services
PFFD,
PGF,
PHIIK,Industrials
PIXY,Industrials
PNI,Financial Services
PQ,Energy
PRAN,Healthcare
PRSS,Technology
PSCD,
PTIE,Healthcare
PYDS,Industrials
PYN,Financial Services
QUMU,Technology
QVAL,
RDCM,Technology
RELL,Technology
RILYG,
RJI,
ROM,
SBI,Financial Services
SDOG,
SDPI,Energy
SEII,Industrials
SGC,Consumer Cyclical
SMBK,Financial Services
SOHO,Real Estate
SOJB,
SPA,Technology
SPKEP,Utilities
SPRT,Technology
SRS,
STRS,Real Estate
SYLD,
TCGP,Financial Services
TECS,
TGA,Energy
TIG,Healthcare
TIPT,Financial Services
TMF,
TPGE,Industrials
TROV,Healthcare
TST,Financial Services
TTNP,Healthcare
TVC,
UBT,
VRIG,
VTHR,
VTN,Financial Services
VTVT,Healthcare
VUSE,
WIA,Financial Services
WSTL,Technology
XSD,
LMRK,Real Estate
PBBI,Financial Services
VRTS,Financial Services
BOIL,
MBII,Basic Materials
DTO,
FTRPR,Communication Services
FWP,Healthcare
YORW,Utilities
TGEN,Basic Materials
SENEA,Consumer Defensive
TI,Communication Services
BMTC,Financial Services
CCRC,Industrials
PSCI,
EML,Industrials
CPTA,Financial Services
PFMT,Industrials
CIF,Financial Services
XMLV,
IAGG,
VBR,
EBAYL,Consumer Cyclical
CRVL,Financial Services
IPAC,
BBU,Real Estate
HYMB,
PMBC,Financial Services
PVI,
SNHNI,Real Estate
ALBO,Healthcare
GASL,
URGN,Healthcare
MSB,Financial Services
NRCIA,Healthcare
BH,Consumer Cyclical
JYNT,Healthcare
MGV,
SCHK,
GRBK,Real Estate
NCA,Financial Services
FNLC,Financial Services
